Date,datevalue,t,Close
2004-09-20,38250,2004.719,17.76
2004-09-17,38247,2004.711,16.99
2004-09-16,38246,2004.708,17.09
2004-09-15,38245,2004.706,15.9
2004-09-14,38244,2004.703,16.32
2004-09-13,38243,2004.7,15.82
2004-09-10,38240,2004.692,14.94
2004-09-09,38239,2004.689,15.08
2004-09-08,38238,2004.686,15.07
2004-09-07,38237,2004.683,15.41
2004-09-03,38233,2004.672,14.36
2004-09-02,38232,2004.669,14.85
2004-09-01,38231,2004.667,14.27
2004-08-31,38230,2004.667,13.95
2004-08-30,38229,2004.664,14.45
2004-08-27,38226,2004.656,15.15
2004-08-26,38225,2004.653,15.24
2004-08-25,38224,2004.65,15.67
2004-08-24,38223,2004.647,15.46
2004-08-23,38222,2004.644,15.91
2004-08-20,38219,2004.636,15.84
2004-08-19,38218,2004.633,15.85
2004-08-18,38217,2004.631,15.74
2004-08-17,38216,2004.628,15.57
2004-08-16,38215,2004.625,15.38
2004-08-13,38212,2004.617,14.98
2004-08-12,38211,2004.614,15.38
2004-08-11,38210,2004.611,16.11
2004-08-10,38209,2004.608,17.14
2004-08-09,38208,2004.606,16.42
2004-08-06,38205,2004.597,16.91
2004-08-05,38204,2004.594,17.1
2004-08-04,38203,2004.592,17.53
2004-08-03,38202,2004.589,19.25
2004-08-02,38201,2004.586,20.16
2004-07-30,38198,2004.581,20.5
2004-07-29,38197,2004.578,20.3
2004-07-28,38196,2004.575,20.23
2004-07-27,38195,2004.572,20.36
2004-07-26,38194,2004.569,19.06
2004-07-23,38191,2004.561,20.27
2004-07-22,38190,2004.558,20.24
2004-07-21,38189,2004.556,20
2004-07-20,38188,2004.553,21.56
2004-07-19,38187,2004.55,20.17
2004-07-16,38184,2004.542,23.02
2004-07-15,38183,2004.539,32
2004-07-14,38182,2004.536,32.06
2004-07-13,38181,2004.533,31.84
2004-07-12,38180,2004.531,32.58
2004-07-09,38177,2004.522,33.43
2004-07-08,38176,2004.519,31.91
2004-07-07,38175,2004.517,33.35
2004-07-06,38174,2004.514,33.52
2004-07-02,38170,2004.503,32.31
2004-07-01,38169,2004.5,35.95
2004-06-30,38168,2004.497,36
2004-06-29,38167,2004.494,34.18
2004-06-28,38166,2004.492,34
2004-06-25,38163,2004.483,31.99
2004-06-24,38162,2004.481,31.09
2004-06-23,38161,2004.478,30.69
2004-06-22,38160,2004.475,28.99
2004-06-21,38159,2004.472,28.92
2004-06-18,38156,2004.464,29.55
2004-06-17,38155,2004.461,29.82
2004-06-16,38154,2004.458,30.24
2004-06-15,38153,2004.456,29.73
2004-06-14,38152,2004.453,29.55
2004-06-10,38148,2004.442,31.19
2004-06-09,38147,2004.439,31.3
2004-06-08,38146,2004.436,32.01
2004-06-07,38145,2004.433,32.1
2004-06-04,38142,2004.425,31.4
2004-06-03,38141,2004.422,31.15
2004-06-02,38140,2004.419,32.47
2004-06-01,38139,2004.417,32.6
2004-05-28,38135,2004.408,32.92
2004-05-27,38134,2004.406,33.2
2004-05-26,38133,2004.403,32.54
2004-05-25,38132,2004.4,32.1
2004-05-24,38131,2004.397,31.95
2004-05-21,38128,2004.389,31.26
2004-05-20,38127,2004.386,30.94
2004-05-19,38126,2004.383,31.35
2004-05-18,38125,2004.381,31
2004-05-17,38124,2004.378,30.5
2004-05-14,38121,2004.369,30.74
2004-05-13,38120,2004.367,30.69
2004-05-12,38119,2004.364,29.51
2004-05-11,38118,2004.361,29.4
2004-05-10,38117,2004.358,26.99
2004-05-07,38114,2004.35,27.34
2004-05-06,38113,2004.347,28.21
2004-05-05,38112,2004.344,28.79
2004-05-04,38111,2004.342,26.97
2004-05-03,38110,2004.339,26.9
2004-04-30,38107,2004.331,25.36
2004-04-29,38106,2004.328,26.05
2004-04-28,38105,2004.325,27.68
2004-04-27,38104,2004.322,28.04
2004-04-26,38103,2004.319,28.61
2004-04-23,38100,2004.311,29.61
2004-04-22,38099,2004.308,29.78
2004-04-21,38098,2004.306,29.01
2004-04-20,38097,2004.303,29.1
2004-04-19,38096,2004.3,30.65
2004-04-16,38093,2004.292,30.75
2004-04-15,38092,2004.289,37.02
2004-04-14,38091,2004.286,36.5
2004-04-13,38090,2004.283,36.59
2004-04-12,38089,2004.281,37.71
2004-04-08,38085,2004.269,37.65
2004-04-07,38084,2004.267,35.63
2004-04-06,38083,2004.264,35.6
2004-04-05,38082,2004.261,35.7
2004-04-02,38079,2004.253,35.18
2004-04-01,38078,2004.25,35.36
2004-03-31,38077,2004.25,34.12
2004-03-30,38076,2004.247,34.37
2004-03-29,38075,2004.244,33.39
2004-03-26,38072,2004.236,28.97
2004-03-25,38071,2004.233,29.6
2004-03-24,38070,2004.231,28.33
2004-03-23,38069,2004.228,28.5
2004-03-22,38068,2004.225,29.25
2004-03-19,38065,2004.217,30.73
2004-03-18,38064,2004.214,30.9
2004-03-17,38063,2004.211,30.52
2004-03-16,38062,2004.208,29.05
